id,name,type,youtube_url,free_course_url,paid_course_url,project_url
19,Python OOP,course,https://www.youtube.com/results?search_query=Python+OOP+full+course,https://docs.python.org/3/tutorial/classes.html,https://www.udemy.com/courses/search/?q=python%20oop,https://www.youtube.com/results?search_query=Python+OOP+project
20,Python Libraries,course,https://www.youtube.com/results?search_query=NumPy+Pandas+Matplotlib+Python+libraries+full+course,https://www.kaggle.com/learn/pandas,https://www.udemy.com/courses/search/?q=python%20libraries%20numpy%20pandas,https://www.youtube.com/results?search_query=Python+Pandas+data+analysis+project
21,Student Performance Predictor,project,https://www.youtube.com/results?search_query=student+performance+prediction+machine+learning+project,https://scikit-learn.org/stable/user_guide.html,https://www.udemy.com/courses/search/?q=student%20performance%20prediction%20machine%20learning,https://github.com/search?q=student+performance+prediction+machine+learning&type=repositories
22,Iris Flower Classification,project,https://www.youtube.com/results?search_query=iris+flower+classification+machine+learning+project,https://scikit-learn.org/stable/auto_examples/datasets/plot_iris_dataset.html,https://www.udemy.com/courses/search/?q=iris+classification+machine+learning,https://github.com/search?q=iris+flower+classification+machine+learning&type=repositories
23,House Price Prediction,project,https://www.youtube.com/results?search_query=house+price+prediction+machine+learning+project+python,https://scikit-learn.org/stable/modules/linear_model.html,https://www.udemy.com/courses/search/?q=house%20price%20prediction%20machine%20learning,https://github.com/search?q=house+price+prediction+machine+learning&type=repositories
24,Movie Recommendation System,project,https://www.youtube.com/results?search_query=movie+recommendation+system+machine+learning+project,https://www.tensorflow.org/recommenders/examples/quickstart,https://www.udemy.com/courses/search/?q=movie%20recommendation%20system,https://github.com/search?q=movie+recommendation+system+python&type=repositories
25,Customer Churn Prediction,project,https://www.youtube.com/results?search_query=customer+churn+prediction+machine+learning+project,https://scikit-learn.org/stable/user_guide.html,https://www.udemy.com/courses/search/?q=customer%20churn%20prediction,https://github.com/search?q=customer+churn+prediction+machine+learning&type=repositories
26,Loan Approval Prediction,project,https://www.youtube.com/results?search_query=loan+approval+prediction+machine+learning+project,https://scikit-learn.org/stable/user_guide.html,https://www.udemy.com/courses/search/?q=loan%20approval%20prediction%20machine%20learning,https://github.com/search?q=loan+approval+prediction+machine+learning&type=repositories
27,Image Classification System,project,https://www.youtube.com/results?search_query=image+classification+deep+learning+project+python,https://www.tensorflow.org/tutorials/images/classification,https://www.udemy.com/courses/search/?q=image%20classification%20deep%20learning,https://github.com/search?q=image+classification+deep+learning&type=repositories
28,Text Classification System,project,https://www.youtube.com/results?search_query=text+classification+NLP+project+python,https://www.tensorflow.org/hub/tutorials/tf2_text_classification,https://www.udemy.com/courses/search/?q=text%20classification%20NLP,https://github.com/search?q=text+classification+NLP+python&type=repositories
29,End-to-End ML Deployment,project,https://www.youtube.com/results?search_query=end+to+end+machine+learning+deployment+project,https://developers.google.com/machine-learning/crash-course/production-ml-systems,https://www.udemy.com/courses/search/?q=end%20to%20end%20machine%20learning%20deployment,https://github.com/search?q=end+to+end+machine+learning+deployment&type=repositories
30,AI Chatbot,project,https://www.youtube.com/results?search_query=Python+AI+chatbot+project,https://cs50.harvard.edu/ai/2024/,https://www.udemy.com/courses/search/?q=python%20AI%20chatbot,https://github.com/search?q=python+AI+chatbot&type=repositories
31,Computer Vision System,project,https://www.youtube.com/results?search_query=computer+vision+project+python+OpenCV,https://www.tensorflow.org/tutorials/images,https://www.udemy.com/courses/search/?q=computer%20vision%20python,https://github.com/search?q=computer+vision+python&type=repositories
32,AI Assistant,project,https://www.youtube.com/results?search_query=AI+assistant+Python+LLM+project,https://www.deeplearning.ai/courses/generative-ai-with-llms/,https://www.udemy.com/courses/search/?q=AI%20assistant%20Python%20LLM,https://github.com/search?q=AI+assistant+Python+LLM&type=repositories
33,Data Analysis Dashboard,project,https://www.youtube.com/results?search_query=Python+data+analysis+dashboard+project,https://www.kaggle.com/learn/pandas,https://www.udemy.com/courses/search/?q=python%20data%20analysis%20dashboard,https://github.com/search?q=data+analysis+dashboard+python&type=repositories
34,Sales Prediction System,project,https://www.youtube.com/results?search_query=sales+prediction+machine+learning+project+python,https://scikit-learn.org/stable/user_guide.html,https://www.udemy.com/courses/search/?q=sales%20prediction%20machine%20learning,https://github.com/search?q=sales+prediction+machine+learning&type=repositories
35,Customer Analytics Platform,project,https://www.youtube.com/results?search_query=customer+analytics+data+science+project,https://www.kaggle.com/learn/pandas,https://www.coursera.org/search?query=customer%20analytics,https://github.com/search?q=customer+analytics+data+science&type=repositories
36,Portfolio Website,project,https://www.youtube.com/results?search_query=HTML+CSS+portfolio+website+project,https://www.freecodecamp.org/learn/2022/responsive-web-design/,https://www.udemy.com/courses/search/?q=portfolio%20website%20HTML%20CSS,https://github.com/search?q=portfolio+website+HTML+CSS&type=repositories
37,E-Commerce Website,project,https://www.youtube.com/results?search_query=JavaScript+ecommerce+website+project,https://fullstackopen.com/en/,https://www.udemy.com/courses/search/?q=javascript%20ecommerce%20website,https://github.com/search?q=javascript+ecommerce+website&type=repositories
38,Learning Management System,project,https://www.youtube.com/results?search_query=Flask+learning+management+system+project,https://flask.palletsprojects.com/en/stable/tutorial/,https://www.udemy.com/courses/search/?q=Flask%20learning%20management%20system,https://github.com/search?q=Flask+learning+management+system&type=repositories
39,Automation Tool,project,https://www.youtube.com/results?search_query=Python+automation+project+tutorial,https://docs.python.org/3/tutorial/,https://www.udemy.com/courses/search/?q=python%20automation,https://github.com/search?q=python+automation+tool&type=repositories
40,Python Web Application,project,https://www.youtube.com/results?search_query=Python+Flask+web+application+project,https://flask.palletsprojects.com/en/stable/tutorial/,https://www.udemy.com/courses/search/?q=Flask%20web%20application,https://github.com/search?q=Flask+Python+web+application&type=repositories
41,Data Analysis Application,project,https://www.youtube.com/results?search_query=Python+Pandas+data+analysis+project,https://www.kaggle.com/learn/pandas,https://www.udemy.com/courses/search/?q=Python%20Pandas%20data%20analysis,https://github.com/search?q=Python+Pandas+data+analysis&type=repositories
