interest,skill_level,course,project,career,difficulty,relevance,skills,description,youtube_url,github_url
Artificial Intelligence,Beginner,AI Fundamentals,Image Recognition App,AI Engineer,Beginner,91,AI,"Learn fundamental artificial intelligence concepts.",https://www.youtube.com/watch?v=ad79nYk2keg,https://github.com/topics/image-recognition
Artificial Intelligence,Beginner,Introduction to Neural Networks,Simple Voice Assistant,AI Engineer,Beginner,89,Neural Networks,"Understand basic neural networks and build a simple AI application.",https://www.youtube.com/watch?v=aircAruvnKk,https://github.com/topics/voice-assistant
Artificial Intelligence,Intermediate,Deep Learning,Computer Vision System,AI Engineer,Intermediate,96,Deep Learning,"Learn deep learning techniques used for computer vision applications.",https://www.youtube.com/watch?v=2FmcHiLCwTU,https://github.com/topics/computer-vision
Artificial Intelligence,Intermediate,Natural Language Processing,Sentiment Analysis System,AI Engineer,Intermediate,94,NLP,"Build an AI system that analyzes the sentiment of text.",https://www.youtube.com/watch?v=X2vAabgKiuM,https://github.com/topics/sentiment-analysis
Artificial Intelligence,Intermediate,Computer Vision,Face Detection Application,AI Engineer,Intermediate,92,Computer Vision,"Learn computer vision techniques for detecting objects and faces.",https://www.youtube.com/watch?v=01sAkU_NvOY,https://github.com/topics/face-detection
Artificial Intelligence,Advanced,Generative AI,AI Assistant,AI Engineer,Advanced,98,Generative AI,"Learn concepts and techniques used to build generative AI applications.",https://www.youtube.com/watch?v=zjkBMFhNj_g,https://github.com/topics/generative-ai
Artificial Intelligence,Advanced,Advanced Deep Learning,AI Image Generator,AI Engineer,Advanced,96,Deep Learning,"Explore advanced deep learning methods for generative applications.",https://www.youtube.com/watch?v=aircAruvnKk,https://github.com/topics/image-generation
Artificial Intelligence,Advanced,Large Language Models,AI Question Answering System,AI Engineer,Advanced,95,LLM,"Learn concepts behind modern large language models.",https://www.youtube.com/watch?v=zjkBMFhNj_g,https://github.com/topics/large-language-model
Data Science,Beginner,Python for Data Science,Data Analysis Dashboard,Data Scientist,Beginner,95,Python,"Learn Python tools and techniques used for data analysis.",https://www.youtube.com/watch?v=LHBE6Q9XlzI,https://github.com/topics/data-analysis-dashboard
Data Science,Beginner,Statistics for Data Science,Student Data Analysis,Data Scientist,Beginner,92,Statistics,"Analyze datasets using fundamental statistical techniques.",https://www.youtube.com/watch?v=xxpc-HPKN28,https://github.com/topics/data-analysis
Data Science,Beginner,Data Cleaning,Data Cleaning Pipeline,Data Scientist,Beginner,90,Data Cleaning,"Learn how to clean and prepare real-world datasets.",https://www.youtube.com/watch?v=bDhvCp3_lYw,https://github.com/topics/data-cleaning
Data Science,Intermediate,Data Visualization,Sales Prediction System,Data Scientist,Intermediate,92,Visualization,"Learn how to visualize data and communicate insights effectively.",https://www.youtube.com/watch?v=6GUZXDef2U0,https://github.com/topics/sales-prediction
Data Science,Intermediate,Exploratory Data Analysis,Customer Insights Dashboard,Data Scientist,Intermediate,94,EDA,"Perform exploratory analysis to discover useful patterns in data.",https://www.youtube.com/watch?v=xi0vhXFPegw,https://github.com/topics/exploratory-data-analysis
Data Science,Intermediate,Pandas & NumPy,Sales Analytics System,Data Scientist,Intermediate,91,Pandas,"Use Python data libraries to analyze and transform datasets.",https://www.youtube.com/watch?v=vmEHCJofslg,https://github.com/topics/sales-analysis
Data Science,Advanced,Advanced Analytics,Customer Analytics Platform,Data Scientist,Advanced,96,Analytics,"Learn advanced analytical techniques for extracting insights from data.",https://www.youtube.com/watch?v=LHBE6Q9XlzI,https://github.com/topics/customer-analytics
Data Science,Advanced,Machine Learning for Data Science,Fraud Detection System,Data Scientist,Advanced,95,Machine Learning,"Apply machine learning techniques to real-world data science problems.",https://www.youtube.com/watch?v=7eh4d6sabA0,https://github.com/topics/fraud-detection
Data Science,Advanced,Time Series Analysis,Demand Forecasting System,Data Scientist,Advanced,93,Time Series,"Build forecasting models for time-dependent data.",https://www.youtube.com/watch?v=QIUxPv5PJOY,https://github.com/topics/demand-forecasting
Web Development,Beginner,HTML & CSS,Portfolio Website,Frontend Developer,Beginner,95,HTML CSS,"Learn the fundamentals of HTML and CSS for building modern websites.",https://www.youtube.com/watch?v=mU6anWqZJcc,https://github.com/topics/portfolio-website
Web Development,Beginner,Responsive Web Design,Responsive Landing Page,Frontend Developer,Beginner,92,CSS,"Build websites that work across desktop and mobile devices.",https://www.youtube.com/watch?v=srvUrASNj0s,https://github.com/topics/responsive-web-design
Web Development,Beginner,Web Fundamentals,Personal Blog Website,Frontend Developer,Beginner,90,HTML,"Build a basic personal blog using web fundamentals.",https://www.youtube.com/watch?v=pQN-pnXPaVg,https://github.com/topics/personal-blog
Web Development,Intermediate,JavaScript,E-Commerce Website,Full Stack Developer,Intermediate,94,JavaScript,"Learn JavaScript concepts required for interactive web applications.",https://www.youtube.com/watch?v=PkZNo7MFNFg,https://github.com/topics/ecommerce-website
Web Development,Intermediate,Frontend Development,Weather Application,Frontend Developer,Intermediate,92,JavaScript,"Build an interactive web application using frontend technologies.",https://www.youtube.com/watch?v=MIYQR-Ybrn4,https://github.com/topics/weather-app
Web Development,Intermediate,REST APIs,Movie Search Website,Full Stack Developer,Intermediate,90,API,"Learn how to consume APIs and build dynamic web applications.",https://www.youtube.com/watch?v=WXsD0ZgxjRw,https://github.com/topics/movie-search
Web Development,Advanced,Flask Web Development,Learning Management System,Full Stack Developer,Advanced,96,Flask,"Learn Flask and backend development techniques for building web applications.",https://www.youtube.com/watch?v=dam0GPOAvVI,https://github.com/topics/flask-lms
Web Development,Advanced,Full Stack Development,Online Store Platform,Full Stack Developer,Advanced,95,Full Stack,"Build a complete full-stack web application.",https://www.youtube.com/watch?v=nu_pCVPKzTk,https://github.com/topics/full-stack-ecommerce
Web Development,Advanced,Web Application Security,Secure Web Application,Full Stack Developer,Advanced,92,Security,"Learn important concepts for securing modern web applications.",https://www.youtube.com/watch?v=2_lswM1S264,https://github.com/topics/web-security
Python,Beginner,Python Fundamentals,Automation Tool,Python Developer,Beginner,95,Python,"Learn core Python programming concepts and syntax.",https://www.youtube.com/watch?v=rfscVS0vtbw,https://github.com/topics/python-automation
Python,Beginner,Python Basics,File Management Application,Python Developer,Beginner,92,Python,"Build a practical application using Python fundamentals.",https://www.youtube.com/watch?v=rfscVS0vtbw,https://github.com/topics/python-file-management
Python,Beginner,Python Programming,Quiz Application,Python Developer,Beginner,90,Python,"Create a simple interactive application using Python.",https://www.youtube.com/watch?v=rfscVS0vtbw,https://github.com/topics/python-quiz
Python,Intermediate,Python OOP,Python Web Application,Python Developer,Intermediate,94,OOP,"Learn object-oriented programming concepts and their implementation in Python.",https://www.youtube.com/watch?v=JeznW_7DlB0,https://github.com/topics/python-web-app
Python,Intermediate,Python Automation,Web Automation Tool,Python Developer,Intermediate,92,Automation,"Use Python to automate repetitive tasks.",https://www.youtube.com/watch?v=UBa8yVbX1Y8,https://github.com/topics/python-automation
Python,Intermediate,Python APIs,Weather API Application,Python Developer,Intermediate,90,APIs,"Build a Python application that consumes an external API.",https://www.youtube.com/watch?v=qbLc5a9jdXo,https://github.com/topics/python-api
Python,Advanced,Python Libraries,Data Analysis Application,Python Developer,Advanced,96,Python Libraries,"Learn important Python libraries used for practical software and data applications.",https://www.youtube.com/watch?v=LHBE6Q9XlzI,https://github.com/topics/python-data-analysis
Python,Advanced,Advanced Python,Multi-User Python Application,Python Developer,Advanced,94,Python,"Build a more advanced application using Python.",https://www.youtube.com/watch?v=HGOBQPFzWKo,https://github.com/topics/python-application
Python,Advanced,Python Backend Development,REST API Backend,Python Developer,Advanced,92,Backend,"Build a backend API using Python.",https://www.youtube.com/watch?v=0sOvCWFmrtA,https://github.com/topics/python-rest-api
Machine Learning,Beginner,Data Preprocessing,Student Data Prediction,Machine Learning Engineer,Beginner,87,Data Preprocessing,"Learn how to prepare data before applying machine learning algorithms.",https://www.youtube.com/watch?v=vmEHCJofslg,https://github.com/topics/data-preprocessing
Machine Learning,Intermediate,Model Deployment,ML Prediction API,Machine Learning Engineer,Intermediate,90,Deployment,"Learn how to expose a machine learning model through an API.",https://www.youtube.com/watch?v=0sOvCWFmrtA,https://github.com/topics/ml-api
Data Science,Beginner,NumPy Fundamentals,Numerical Analysis Tool,Data Scientist,Beginner,89,NumPy,"Learn numerical computing with NumPy.",https://www.youtube.com/watch?v=QUT1VHiLmmI,https://github.com/topics/numpy
Web Development,Intermediate,Flask APIs,Student Management API,Full Stack Developer,Intermediate,89,Flask API,"Build REST APIs using Flask.",https://www.youtube.com/watch?v=dam0GPOAvVI,https://github.com/topics/flask-api
Python,Advanced,Python Testing,Python Testing Dashboard,Python Developer,Advanced,88,Testing,"Learn how to test Python applications and improve code quality.",https://www.youtube.com/watch?v=6tNS--WetLI,https://github.com/topics/python-testing
